Vocab size: 8,192
Model config: {'sequence_len': 512, 'vocab_size': 8192, 'n_layer': 6, 'n_head': 6, 'n_kv_head': 6, 'n_embd': 384, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 3,145,728
  value_embeds            : 9,437,184
  lm_head                 : 3,145,728
  transformer_matrices    : 10,617,120
  scalars                 : 12
  total                   : 26,345,772
Estimated FLOPs per token: 9.673286e+07
Scaling AdamW LRs by 1/sqrt(384/768) = 1.414214
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011387 | lrm: 1.00 | dt: 1918ms | tok/sec: 17,087 | mfu: 11.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.227638 | lrm: 1.00 | dt: 403ms | tok/sec: 81,312 | mfu: 52.4% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.006374 | lrm: 1.00 | dt: 366ms | tok/sec: 89,505 | mfu: 57.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.588782 | lrm: 1.00 | dt: 367ms | tok/sec: 89,373 | mfu: 57.6% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.208686 | lrm: 1.00 | dt: 367ms | tok/sec: 89,259 | mfu: 57.6% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.953754 | lrm: 1.00 | dt: 366ms | tok/sec: 89,561 | mfu: 57.8% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.722742 | lrm: 1.00 | dt: 366ms | tok/sec: 89,629 | mfu: 57.8% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.535211 | lrm: 1.00 | dt: 367ms | tok/sec: 89,293 | mfu: 57.6% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.372522 | lrm: 1.00 | dt: 366ms | tok/sec: 89,577 | mfu: 57.8% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.211603 | lrm: 1.00 | dt: 367ms | tok/sec: 89,199 | mfu: 57.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.064425 | lrm: 1.00 | dt: 366ms | tok/sec: 89,435 | mfu: 57.7% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.956492 | lrm: 1.00 | dt: 366ms | tok/sec: 89,604 | mfu: 57.8% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.859335 | lrm: 1.00 | dt: 368ms | tok/sec: 89,163 | mfu: 57.5% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.764393 | lrm: 1.00 | dt: 365ms | tok/sec: 89,789 | mfu: 57.9% | epoch: 1 | remaining: 299s    
step 00157 (17.8%) | loss: 4.531301 | lrm: 1.00 | dt: 366ms | tok/sec: 89,593 | mfu: 57.8% | epoch: 1 | remaining: 246s    
step 00158 (17.9%) | loss: 4.516502 | lrm: 1.00 | dt: 367ms | tok/sec: 89,381 | mfu: 57.6% | epoch: 1 | remaining: 246s    
step 00159 (18.1%) | loss: 4.509372 | lrm: 1.00 | dt: 373ms | tok/sec: 87,912 | mfu: 56.7% | epoch: 1 | remaining: 245s    
step 00160 (18.2%) | loss: 4.507121 | lrm: 1.00 | dt: 366ms | tok/sec: 89,646 | mfu: 57.8% | epoch: 1 | remaining: 245s    
step 00161 (18.3%) | loss: 4.504803 | lrm: 1.00 | dt: 367ms | tok/sec: 89,283 | mfu: 57.6% | epoch: 1 | remaining: 245s    
step 00162 (18.4%) | loss: 4.502133 | lrm: 1.00 | dt: 365ms | tok/sec: 89,890 | mfu: 58.0% | epoch: 1 | remaining: 244s    
step 00163 (18.6%) | loss: 4.490556 | lrm: 1.00 | dt: 366ms | tok/sec: 89,640 | mfu: 57.8% | epoch: 1 | remaining: 244s    
step 00164 (18.7%) | loss: 4.482321 | lrm: 1.00 | dt: 367ms | tok/sec: 89,379 | mfu: 57.6% | epoch: 1 | remaining: 244s    
step 00165 (18.8%) | loss: 4.478522 | lrm: 1.00 | dt: 365ms | tok/sec: 89,795 | mfu: 57.9% | epoch: 1 | remaining: 243s    
step 00166 (18.9%) | loss: 4.473173 | lrm: 1.00 | dt: 367ms | tok/sec: 89,315 | mfu: 57.6% | epoch: 1 | remaining: 243s    
step 00167 (19.0%) | loss: 4.469776 | lrm: 1.00 | dt: 367ms | tok/sec: 89,381 | mfu: 57.6% | epoch: 1 | remaining: 242s    
step 00168 (19.2%) | loss: 4.463350 | lrm: 1.00 | dt: 365ms | tok/sec: 89,795 | mfu: 57.9% | epoch: 1 | remaining: 242s    
step 00169 (19.3%) | loss: 4.458960 | lrm: 1.00 | dt: 369ms | tok/sec: 88,702 | mfu: 57.2% | epoch: 1 | remaining: 242s    
step 00170 (19.4%) | loss: 4.457744 | lrm: 1.00 | dt: 366ms | tok/sec: 89,635 | mfu: 57.8% | epoch: 1 | remaining: 241s    
step 00171 (19.5%) | loss: 4.459596 | lrm: 1.00 | dt: 365ms | tok/sec: 89,702 | mfu: 57.8% | epoch: 1 | remaining: 241s    
step 00172 (19.7%) | loss: 4.448378 | lrm: 1.00 | dt: 368ms | tok/sec: 89,107 | mfu: 57.5% | epoch: 1 | remaining: 241s    
step 00173 (19.8%) | loss: 4.455604 | lrm: 1.00 | dt: 363ms | tok/sec: 90,158 | mfu: 58.1% | epoch: 1 | remaining: 240s    
step 00174 (19.9%) | loss: 4.448893 | lrm: 1.00 | dt: 366ms | tok/sec: 89,624 | mfu: 57.8% | epoch: 1 | remaining: 240s    
step 00175 (20.0%) | loss: 4.445260 | lrm: 1.00 | dt: 367ms | tok/sec: 89,223 | mfu: 57.5% | epoch: 1 | remaining: 240s    
step 00176 (20.1%) | loss: 4.440473 | lrm: 1.00 | dt: 366ms | tok/sec: 89,565 | mfu: 57.8% | epoch: 1 | remaining: 239s    
step 00177 (20.3%) | loss: 4.443236 | lrm: 1.00 | dt: 368ms | tok/sec: 88,971 | mfu: 57.4% | epoch: 1 | remaining: 239s    
step 00178 (20.4%) | loss: 4.437483 | lrm: 1.00 | dt: 366ms | tok/sec: 89,535 | mfu: 57.7% | epoch: 1 | remaining: 238s    
step 00179 (20.5%) | loss: 4.430482 | lrm: 0.99 | dt: 365ms | tok/sec: 89,665 | mfu: 57.8% | epoch: 1 | remaining: 238s    
step 00180 (20.6%) | loss: 4.421555 | lrm: 0.99 | dt: 368ms | tok/sec: 89,126 | mfu: 57.5% | epoch: 1 | remaining: 238s    
step 00181 (20.8%) | loss: 4.415895 | lrm: 0.99 | dt: 364ms | tok/sec: 89,913 | mfu: 58.0% | epoch: 1 | remaining: 237s    
step 00182 (20.9%) | loss: 4.404070 | lrm: 0.99 | dt: 365ms | tok/sec: 89,728 | mfu: 57.9% | epoch: 1 | remaining: 237s    
step 00183 (21.0%) | loss: 4.404170 | lrm: 0.99 | dt: 368ms | tok/sec: 89,143 | mfu: 57.5% | epoch: 1 | remaining: 237s    
step 00184 (21.1%) | loss: 4.402825 | lrm: 0.99 | dt: 365ms | tok/sec: 89,760 | mfu: 57.9% | epoch: 1 | remaining: 236s    
step 00185 (21.2%) | loss: 4.402728 | lrm: 0.99 | dt: 364ms | tok/sec: 89,970 | mfu: 58.0% | epoch: 1 | remaining: 236s    
step 00186 (21.4%) | loss: 4.399919 | lrm: 0.98 | dt: 368ms | tok/sec: 88,952 | mfu: 57.4% | epoch: 1 | remaining: 236s    
step 00187 (21.5%) | loss: 4.394854 | lrm: 0.98 | dt: 364ms | tok/sec: 90,068 | mfu: 58.1% | epoch: 1 | remaining: 235s    
step 00188 (21.6%) | loss: 4.387947 | lrm: 0.98 | dt: 366ms | tok/sec: 89,528 | mfu: 57.7% | epoch: 1 | remaining: 235s    
step 00189 (21.7%) | loss: 4.390788 | lrm: 0.98 | dt: 368ms | tok/sec: 88,971 | mfu: 57.4% | epoch: 1 | remaining: 234s    
step 00190 (21.9%) | loss: 4.391110 | lrm: 0.98 | dt: 365ms | tok/sec: 89,672 | mfu: 57.8% | epoch: 1 | remaining: 234s    
step 00191 (22.0%) | loss: 4.391912 | lrm: 0.98 | dt: 367ms | tok/sec: 89,287 | mfu: 57.6% | epoch: 1 | remaining: 234s    
step 00192 (22.1%) | loss: 4.390799 | lrm: 0.98 | dt: 366ms | tok/sec: 89,457 | mfu: 57.7% | epoch: 1 | remaining: 233s    
step 00193 (22.2%) | loss: 4.388840 | lrm: 0.97 | dt: 366ms | tok/sec: 89,605 | mfu: 57.8% | epoch: 1 | remaining: 233s    
step 00194 (22.3%) | loss: 4.386838 | lrm: 0.97 | dt: 367ms | tok/sec: 89,311 | mfu: 57.6% | epoch: 1 | remaining: 233s    
step 00195 (22.5%) | loss: 4.382773 | lrm: 0.97 | dt: 366ms | tok/sec: 89,522 | mfu: 57.7% | epoch: 1 | remaining: 232s    
step 00196 (22.6%) | loss: 4.378862 | lrm: 0.97 | dt: 368ms | tok/sec: 89,145 | mfu: 57.5% | epoch: 1 | remaining: 232s    
step 00197 (22.7%) | loss: 4.369587 | lrm: 0.97 | dt: 367ms | tok/sec: 89,354 | mfu: 57.6% | epoch: 1 | remaining: 231s    
step 00198 (22.8%) | loss: 4.367343 | lrm: 0.97 | dt: 364ms | tok/sec: 90,021 | mfu: 58.1% | epoch: 1 | remaining: 231s    
step 00199 (23.0%) | loss: 4.369151 | lrm: 0.96 | dt: 365ms | tok/sec: 89,824 | mfu: 57.9% | epoch: 1 | remaining: 231s    
step 00200 (23.1%) | loss: 4.356630 | lrm: 0.96 | dt: 366ms | tok/sec: 89,450 | mfu: 57.7% | epoch: 1 | remaining: 230s    
step 00201 (23.2%) | loss: 4.354482 | lrm: 0.96 | dt: 366ms | tok/sec: 89,550 | mfu: 57.7% | epoch: 1 | remaining: 230s    
step 00202 (23.3%) | loss: 4.346337 | lrm: 0.96 | dt: 367ms | tok/sec: 89,254 | mfu: 57.6% | epoch: 1 | remaining: 230s    
step 00203 (23.4%) | loss: 4.341178 | lrm: 0.96 | dt: 367ms | tok/sec: 89,282 | mfu: 57.6% | epoch: 1 | remaining: 229s    
step 00204 (23.6%) | loss: 4.343450 | lrm: 0.96 | dt: 367ms | tok/sec: 89,378 | mfu: 57.6% | epoch: 1 | remaining: 229s    
step 00205 (23.7%) | loss: 4.340053 | lrm: 0.96 | dt: 367ms | tok/sec: 89,239 | mfu: 57.5% | epoch: 1 | remaining: 229s    
step 00206 (23.8%) | loss: 4.340152 | lrm: 0.95 | dt: 365ms | tok/sec: 89,753 | mfu: 57.9% | epoch: 1 | remaining: 228s    
step 00207 (23.9%) | loss: 4.347626 | lrm: 0.95 | dt: 367ms | tok/sec: 89,346 | mfu: 57.6% | epoch: 1 | remaining: 228s    
step 00208 (24.1%) | loss: 4.336824 | lrm: 0.95 | dt: 368ms | tok/sec: 89,031 | mfu: 57.4% | epoch: 1 | remaining: 227s    
step 00209 (24.2%) | loss: 4.338113 | lrm: 0.95 | dt: 366ms | tok/sec: 89,452 | mfu: 57.7% | epoch: 1 | remaining: 227s    
step 00210 (24.3%) | loss: 4.325545 | lrm: 0.95 | dt: 366ms | tok/sec: 89,516 | mfu: 57.7% | epoch: 1 | remaining: 227s    
step 00211 (24.4%) | loss: 4.327690 | lrm: 0.95 | dt: 366ms | tok/sec: 89,574 | mfu: 57.8% | epoch: 1 | remaining: 226s    
step 00212 (24.5%) | loss: 4.317284 | lrm: 0.95 | dt: 366ms | tok/sec: 89,435 | mfu: 57.7% | epoch: 1 | remaining: 226s    
step 00213 (24.7%) | loss: 4.313014 | lrm: 0.94 | dt: 367ms | tok/sec: 89,299 | mfu: 57.6% | epoch: 1 | remaining: 226s    
step 00214 (24.8%) | loss: 4.306584 | lrm: 0.94 | dt: 367ms | tok/sec: 89,221 | mfu: 57.5% | epoch: 1 | remaining: 225s    
step 00215 (24.9%) | loss: 4.298812 | lrm: 0.94 | dt: 365ms | tok/sec: 89,736 | mfu: 57.9% | epoch: 1 | remaining: 225s    
step 00216 (25.0%) | loss: 4.298956 | lrm: 0.94 | dt: 376ms | tok/sec: 87,151 | mfu: 56.2% | epoch: 1 | remaining: 225s    
step 00217 (25.2%) | loss: 4.299242 | lrm: 0.94 | dt: 364ms | tok/sec: 89,953 | mfu: 58.0% | epoch: 1 | remaining: 224s    
step 00218 (25.3%) | loss: 4.300887 | lrm: 0.94 | dt: 367ms | tok/sec: 89,361 | mfu: 57.6% | epoch: 1 | remaining: 224s    
step 00219 (25.4%) | loss: 4.297544 | lrm: 0.94 | dt: 368ms | tok/sec: 89,129 | mfu: 57.5% | epoch: 1 | remaining: 223s    
step 00220 (25.5%) | loss: 4.297999 | lrm: 0.93 | dt: 365ms | tok/sec: 89,789 | mfu: 57.9% | epoch: 1 | remaining: 223s    
step 00221 (25.6%) | loss: 4.294414 | lrm: 0.93 | dt: 365ms | tok/sec: 89,733 | mfu: 57.9% | epoch: 1 | remaining: 223s    
step 00222 (25.8%) | loss: 4.296041 | lrm: 0.93 | dt: 367ms | tok/sec: 89,293 | mfu: 57.6% | epoch: 1 | remaining: 222s    
step 00223 (25.9%) | loss: 4.290376 | lrm: 0.93 | dt: 367ms | tok/sec: 89,336 | mfu: 57.6% | epoch: 1 | remaining: 222s    
step 00224 (26.0%) | loss: 4.288005 | lrm: 0.93 | dt: 368ms | tok/sec: 89,136 | mfu: 57.5% | epoch: 1 | remaining: 222s    
step 00225 (26.1%) | loss: 4.289766 | lrm: 0.93 | dt: 366ms | tok/sec: 89,509 | mfu: 57.7% | epoch: 1 | remaining: 221s    
step 00226 (26.3%) | loss: 4.279494 | lrm: 0.93 | dt: 365ms | tok/sec: 89,780 | mfu: 57.9% | epoch: 1 | remaining: 221s    
step 00227 (26.4%) | loss: 4.271522 | lrm: 0.92 | dt: 368ms | tok/sec: 89,045 | mfu: 57.4% | epoch: 1 | remaining: 220s    
step 00228 (26.5%) | loss: 4.275154 | lrm: 0.92 | dt: 364ms | tok/sec: 89,913 | mfu: 58.0% | epoch: 1 | remaining: 220s    
step 00229 (26.6%) | loss: 4.277978 | lrm: 0.92 | dt: 365ms | tok/sec: 89,679 | mfu: 57.8% | epoch: 1 | remaining: 220s    
step 00230 (26.7%) | loss: 4.273214 | lrm: 0.92 | dt: 368ms | tok/sec: 89,024 | mfu: 57.4% | epoch: 1 | remaining: 219s    
step 00231 (26.9%) | loss: 4.264657 | lrm: 0.92 | dt: 365ms | tok/sec: 89,723 | mfu: 57.9% | epoch: 1 | remaining: 219s    
step 00232 (27.0%) | loss: 4.261520 | lrm: 0.92 | dt: 366ms | tok/sec: 89,590 | mfu: 57.8% | epoch: 1 | remaining: 219s    
step 00233 (27.1%) | loss: 4.257726 | lrm: 0.92 | dt: 368ms | tok/sec: 89,038 | mfu: 57.4% | epoch: 1 | remaining: 218s    
step 00234 (27.2%) | loss: 4.263155 | lrm: 0.91 | dt: 366ms | tok/sec: 89,617 | mfu: 57.8% | epoch: 1 | remaining: 218s    
step 00235 (27.4%) | loss: 4.257972 | lrm: 0.91 | dt: 369ms | tok/sec: 88,875 | mfu: 57.3% | epoch: 1 | remaining: 218s    
step 00236 (27.5%) | loss: 4.256483 | lrm: 0.91 | dt: 365ms | tok/sec: 89,779 | mfu: 57.9% | epoch: 1 | remaining: 217s    
step 00237 (27.6%) | loss: 4.258711 | lrm: 0.91 | dt: 365ms | tok/sec: 89,730 | mfu: 57.9% | epoch: 1 | remaining: 217s    
step 00238 (27.7%) | loss: 4.257797 | lrm: 0.91 | dt: 369ms | tok/sec: 88,818 | mfu: 57.3% | epoch: 1 | remaining: 216s    
step 00239 (27.8%) | loss: 4.263166 | lrm: 0.91 | dt: 365ms | tok/sec: 89,761 | mfu: 57.9% | epoch: 1 | remaining: 216s    
step 00240 (28.0%) | loss: 4.252774 | lrm: 0.91 | dt: 366ms | tok/sec: 89,494 | mfu: 57.7% | epoch: 1 | remaining: 216s    
step 00241 (28.1%) | loss: 4.256418 | lrm: 0.90 | dt: 367ms | tok/sec: 89,185 | mfu: 57.5% | epoch: 1 | remaining: 215s    
step 00242 (28.2%) | loss: 4.248692 | lrm: 0.90 | dt: 364ms | tok/sec: 89,988 | mfu: 58.0% | epoch: 1 | remaining: 215s    
step 00243 (28.3%) | loss: 4.240591 | lrm: 0.90 | dt: 365ms | tok/sec: 89,654 | mfu: 57.8% | epoch: 1 | remaining: 215s    
step 00244 (28.5%) | loss: 4.243727 | lrm: 0.90 | dt: 368ms | tok/sec: 88,980 | mfu: 57.4% | epoch: 1 | remaining: 214s    
step 00245 (28.6%) | loss: 4.246831 | lrm: 0.90 | dt: 364ms | tok/sec: 89,941 | mfu: 58.0% | epoch: 1 | remaining: 214s    
step 00246 (28.7%) | loss: 4.236689 | lrm: 0.90 | dt: 370ms | tok/sec: 88,667 | mfu: 57.2% | epoch: 1 | remaining: 214s    
step 00247 (28.8%) | loss: 4.239780 | lrm: 0.90 | dt: 367ms | tok/sec: 89,307 | mfu: 57.6% | epoch: 1 | remaining: 213s    
step 00248 (28.9%) | loss: 4.239257 | lrm: 0.89 | dt: 365ms | tok/sec: 89,677 | mfu: 57.8% | epoch: 1 | remaining: 213s    
step 00249 (29.1%) | loss: 4.233050 | lrm: 0.89 | dt: 369ms | tok/sec: 88,732 | mfu: 57.2% | epoch: 1 | remaining: 212s    
step 00250 (29.2%) | loss: 4.234697 | lrm: 0.89 | dt: 366ms | tok/sec: 89,551 | mfu: 57.8% | epoch: 1 | remaining: 212s    
step 00251 (29.3%) | loss: 4.235258 | lrm: 0.89 | dt: 365ms | tok/sec: 89,871 | mfu: 58.0% | epoch: 1 | remaining: 212s    
step 00252 (29.4%) | loss: 4.241540 | lrm: 0.89 | dt: 367ms | tok/sec: 89,228 | mfu: 57.5% | epoch: 1 | remaining: 211s    
step 00253 (29.6%) | loss: 4.243114 | lrm: 0.89 | dt: 366ms | tok/sec: 89,585 | mfu: 57.8% | epoch: 1 | remaining: 211s    
step 00254 (29.7%) | loss: 4.239421 | lrm: 0.89 | dt: 365ms | tok/sec: 89,655 | mfu: 57.8% | epoch: 1 | remaining: 211s    
step 00255 (29.8%) | loss: 4.243588 | lrm: 0.88 | dt: 368ms | tok/sec: 89,068 | mfu: 57.4% | epoch: 1 | remaining: 210s    
step 00256 (29.9%) | loss: 4.231682 | lrm: 0.88 | dt: 365ms | tok/sec: 89,663 | mfu: 57.8% | epoch: 1 | remaining: 210s    
step 00257 (30.0%) | loss: 4.222513 | lrm: 0.88 | dt: 366ms | tok/sec: 89,506 | mfu: 57.7% | epoch: 1 | remaining: 210s    
step 00258 (30.2%) | loss: 4.219690 | lrm: 0.88 | dt: 369ms | tok/sec: 88,916 | mfu: 57.3% | epoch: 1 | remaining: 209s    
step 00259 (30.3%) | loss: 4.214727 | lrm: 0.88 | dt: 367ms | tok/sec: 89,399 | mfu: 57.7% | epoch: 1 | remaining: 209s    
step 00260 (30.4%) | loss: 4.204596 | lrm: 0.88 | dt: 368ms | tok/sec: 89,153 | mfu: 57.5% | epoch: 1 | remaining: 208s    
step 00261 (30.5%) | loss: 4.203686 | lrm: 0.87 | dt: 366ms | tok/sec: 89,518 | mfu: 57.7% | epoch: 1 | remaining: 208s    
step 00262 (30.7%) | loss: 4.200909 | lrm: 0.87 | dt: 365ms | tok/sec: 89,744 | mfu: 57.9% | epoch: 1 | remaining: 208s    
step 00263 (30.8%) | loss: 4.195633 | lrm: 0.87 | dt: 368ms | tok/sec: 89,128 | mfu: 57.5% | epoch: 1 | remaining: 207s    
step 00264 (30.9%) | loss: 4.189706 | lrm: 0.87 | dt: 364ms | tok/sec: 89,925 | mfu: 58.0% | epoch: 1 | remaining: 207s    
step 00265 (31.0%) | loss: 4.190940 | lrm: 0.87 | dt: 365ms | tok/sec: 89,861 | mfu: 58.0% | epoch: 1 | remaining: 207s    
step 00266 (31.1%) | loss: 4.185216 | lrm: 0.87 | dt: 367ms | tok/sec: 89,181 | mfu: 57.5% | epoch: 1 | remaining: 206s    
step 00267 (31.3%) | loss: 4.180925 | lrm: 0.87 | dt: 366ms | tok/sec: 89,489 | mfu: 57.7% | epoch: 1 | remaining: 206s    
step 00268 (31.4%) | loss: 4.185809 | lrm: 0.86 | dt: 377ms | tok/sec: 86,993 | mfu: 56.1% | epoch: 1 | remaining: 205s    
step 00269 (31.5%) | loss: 4.176429 | lrm: 0.86 | dt: 367ms | tok/sec: 89,223 | mfu: 57.5% | epoch: 1 | remaining: 205s    
step 00270 (31.6%) | loss: 4.174165 | lrm: 0.86 | dt: 365ms | tok/sec: 89,662 | mfu: 57.8% | epoch: 1 | remaining: 205s    
step 00271 (31.8%) | loss: 4.172448 | lrm: 0.86 | dt: 368ms | tok/sec: 89,101 | mfu: 57.5% | epoch: 1 | remaining: 204s    
step 00272 (31.9%) | loss: 4.164491 | lrm: 0.86 | dt: 366ms | tok/sec: 89,408 | mfu: 57.7% | epoch: 1 | remaining: 204s    
step 00273 (32.0%) | loss: 4.165396 | lrm: 0.86 | dt: 367ms | tok/sec: 89,375 | mfu: 57.6% | epoch: 1 | remaining: 204s    
step 00274 (32.1%) | loss: 4.166927 | lrm: 0.86 | dt: 369ms | tok/sec: 88,920 | mfu: 57.3% | epoch: 1 | remaining: 203s    
step 00275 (32.2%) | loss: 4.162264 | lrm: 0.85 | dt: 366ms | tok/sec: 89,532 | mfu: 57.7% | epoch: 1 | remaining: 203s    
step 00276 (32.4%) | loss: 4.168454 | lrm: 0.85 | dt: 366ms | tok/sec: 89,465 | mfu: 57.7% | epoch: 1 | remaining: 203s    
step 00277 (32.5%) | loss: 4.166138 | lrm: 0.85 | dt: 367ms | tok/sec: 89,355 | mfu: 57.6% | epoch: 1 | remaining: 202s    
step 00278 (32.6%) | loss: 4.152643 | lrm: 0.85 | dt: 365ms | tok/sec: 89,682 | mfu: 57.8% | epoch: 1 | remaining: 202s    
step 00279 (32.7%) | loss: 4.158378 | lrm: 0.85 | dt: 365ms | tok/sec: 89,704 | mfu: 57.8% | epoch: 1 | remaining: 201s    
step 00280 (32.9%) | loss: 4.152081 | lrm: 0.85 | dt: 367ms | tok/sec: 89,403 | mfu: 57.7% | epoch: 1 | remaining: 201s    
step 00281 (33.0%) | loss: 4.152008 | lrm: 0.85 | dt: 366ms | tok/sec: 89,409 | mfu: 57.7% | epoch: 1 | remaining: 201s    
step 00282 (33.1%) | loss: 4.162504 | lrm: 0.84 | dt: 368ms | tok/sec: 89,151 | mfu: 57.5% | epoch: 1 | remaining: 200s    
step 00283 (33.2%) | loss: 4.162797 | lrm: 0.84 | dt: 365ms | tok/sec: 89,674 | mfu: 57.8% | epoch: 1 | remaining: 200s    
step 00284 (33.3%) | loss: 4.153714 | lrm: 0.84 | dt: 367ms | tok/sec: 89,284 | mfu: 57.6% | epoch: 1 | remaining: 200s    
step 00285 (33.5%) | loss: 4.159646 | lrm: 0.84 | dt: 366ms | tok/sec: 89,552 | mfu: 57.8% | epoch: 1 | remaining: 199s    
step 00286 (33.6%) | loss: 4.157865 | lrm: 0.84 | dt: 365ms | tok/sec: 89,674 | mfu: 57.8% | epoch: 1 | remaining: 199s    
step 00287 (33.7%) | loss: 4.157845 | lrm: 0.84 | dt: 367ms | tok/sec: 89,287 | mfu: 57.6% | epoch: 1 | remaining: 199s    
step 00288 (33.8%) | loss: 4.155445 | lrm: 0.84 | dt: 367ms | tok/sec: 89,179 | mfu: 57.5% | epoch: 1 | remaining: 198s    
step 00289 (34.0%) | loss: 4.149098 | lrm: 0.83 | dt: 366ms | tok/sec: 89,585 | mfu: 57.8% | epoch: 1 | remaining: 198s    
step 00290 (34.1%) | loss: 4.158382 | lrm: 0.83 | dt: 367ms | tok/sec: 89,392 | mfu: 57.6% | epoch: 1 | remaining: 197s    
step 00291 (34.2%) | loss: 4.159844 | lrm: 0.83 | dt: 368ms | tok/sec: 89,024 | mfu: 57.4% | epoch: 1 | remaining: 197s    
step 00292 (34.3%) | loss: 4.162983 | lrm: 0.83 | dt: 365ms | tok/sec: 89,713 | mfu: 57.9% | epoch: 1 | remaining: 197s    
step 00293 (34.4%) | loss: 4.161758 | lrm: 0.83 | dt: 368ms | tok/sec: 88,988 | mfu: 57.4% | epoch: 1 | remaining: 196s    
step 00294 (34.6%) | loss: 4.158096 | lrm: 0.83 | dt: 365ms | tok/sec: 89,872 | mfu: 58.0% | epoch: 1 | remaining: 196s    
step 00295 (34.7%) | loss: 4.156692 | lrm: 0.83 | dt: 367ms | tok/sec: 89,359 | mfu: 57.6% | epoch: 1 | remaining: 196s    
step 00296 (34.8%) | loss: 4.150943 | lrm: 0.82 | dt: 367ms | tok/sec: 89,187 | mfu: 57.5% | epoch: 1 | remaining: 195s    
step 00297 (34.9%) | loss: 4.146574 | lrm: 0.82 | dt: 365ms | tok/sec: 89,829 | mfu: 57.9% | epoch: 1 | remaining: 195s    
step 00298 (35.1%) | loss: 4.150865 | lrm: 0.82 | dt: 366ms | tok/sec: 89,591 | mfu: 57.8% | epoch: 1 | remaining: 194s    
step 00299 (35.2%) | loss: 4.151322 | lrm: 0.82 | dt: 368ms | tok/sec: 89,140 | mfu: 57.5% | epoch: 1 | remaining: 194s    
step 00300 (35.3%) | loss: 4.145622 | lrm: 0.82 | dt: 365ms | tok/sec: 89,669 | mfu: 57.8% | epoch: 1 | remaining: 194s    
step 00301 (35.4%) | loss: 4.145535 | lrm: 0.82 | dt: 368ms | tok/sec: 89,113 | mfu: 57.5% | epoch: 1 | remaining: 193s    
step 00302 (35.5%) | loss: 4.133667 | lrm: 0.82 | dt: 367ms | tok/sec: 89,197 | mfu: 57.5% | epoch: 1 | remaining: 193s    
step 00303 (35.7%) | loss: 4.126982 | lrm: 0.81 | dt: 367ms | tok/sec: 89,326 | mfu: 57.6% | epoch: 1 | remaining: 193s    
step 00304 (35.8%) | loss: 4.124701 | lrm: 0.81 | dt: 366ms | tok/sec: 89,411 | mfu: 57.7% | epoch: 1 | remaining: 192s    
step 00305 (35.9%) | loss: 4.126949 | lrm: 0.81 | dt: 366ms | tok/sec: 89,514 | mfu: 57.7% | epoch: 1 | remaining: 192s    
step 00306 (36.0%) | loss: 4.121273 | lrm: 0.81 | dt: 366ms | tok/sec: 89,528 | mfu: 57.7% | epoch: 1 | remaining: 192s    
step 00307 (36.2%) | loss: 4.120601 | lrm: 0.81 | dt: 368ms | tok/sec: 89,014 | mfu: 57.4% | epoch: 1 | remaining: 191s    
step 00308 (36.3%) | loss: 4.128202 | lrm: 0.81 | dt: 365ms | tok/sec: 89,734 | mfu: 57.9% | epoch: 1 | remaining: 191s    
step 00309 (36.4%) | loss: 4.137092 | lrm: 0.81 | dt: 366ms | tok/sec: 89,626 | mfu: 57.8% | epoch: 1 | remaining: 190s    
step 00310 (36.5%) | loss: 4.144710 | lrm: 0.80 | dt: 369ms | tok/sec: 88,743 | mfu: 57.2% | epoch: 1 | remaining: 190s    
step 00311 (36.6%) | loss: 4.135408 | lrm: 0.80 | dt: 365ms | tok/sec: 89,701 | mfu: 57.8% | epoch: 1 | remaining: 190s    
step 00312 (36.8%) | loss: 4.139545 | lrm: 0.80 | dt: 369ms | tok/sec: 88,918 | mfu: 57.3% | epoch: 1 | remaining: 189s    
step 00313 (36.9%) | loss: 4.134574 | lrm: 0.80 | dt: 367ms | tok/sec: 89,197 | mfu: 57.5% | epoch: 1 | remaining: 189s    
step 00314 (37.0%) | loss: 4.132865 | lrm: 0.80 | dt: 366ms | tok/sec: 89,505 | mfu: 57.7% | epoch: 1 | remaining: 189s    
step 00315 (37.1%) | loss: 4.132150 | lrm: 0.80 | dt: 375ms | tok/sec: 87,281 | mfu: 56.3% | epoch: 1 | remaining: 188s    
